seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
10065,True,synthetic-010065,hard,15,converged,False,20.0,0.5072327086038638,0.9746383645698067,0.7419046385275062,1.3343116234369872,1.0422112259902505
10066,True,synthetic-010066,hard,29,converged,False,20.0,0.5150266054681791,0.9742486697265911,0.7651877869339095,1.1796806928547603,1.2323283198218156
10067,True,synthetic-010067,hard,10,converged,False,20.0,0.615117360416936,0.9692441319791533,0.6985475219216044,1.2224348752443268,1.1650198046800013
10068,True,synthetic-010068,moderate,21,converged,False,20.0,0.40113577277380247,0.9799432113613099,0.7988322689794635,1.1468190076945366,1.1969791179572045
10069,True,synthetic-010069,moderate,64,converged,False,20.0,0.2689813340952104,0.9865509332952394,0.8305721721871479,1.2129258263604459,1.012336915937014
10070,True,synthetic-010070,hard,14,converged,False,20.0,0.5413184017147743,0.9729340799142612,0.7358940684784769,1.2635853117801041,1.1969267762847295
10071,True,synthetic-010071,hard,10,converged,False,20.0,1.0209734379595092,0.9489513281020245,0.6926239039241805,1.11980625077153,1.499611446172113
10072,True,synthetic-010072,moderate,16,converged,False,20.0,0.29979609412768915,0.9850101952936156,0.8035660327939601,1.2170083345151625,0.9627276076838178
10073,True,synthetic-010073,hard,22,converged,False,20.0,0.6530383649460307,0.9673480817526985,0.7243670935155601,1.2246824237752831,1.305984647165259
10074,True,synthetic-010074,hard,57,converged,False,20.0,0.7078214032645788,0.964608929836771,0.6922987426888605,1.2558288650728244,1.2280282121714239
10075,True,synthetic-010075,moderate,47,converged,False,20.0,0.5906028356649561,0.9704698582167521,0.7259555685094351,1.2618476473202689,1.1860631146677683
10076,True,synthetic-010076,hard,34,converged,False,20.0,0.51251212914573,0.9743743935427135,0.7783782106066217,1.200817549020755,1.156948552370778
10077,True,synthetic-010077,hard,46,converged,False,20.0,0.6584320186967214,0.9670783990651639,0.6688791465183629,1.2028682637704566,1.361275737935768
10078,True,synthetic-010078,hard,12,converged,False,20.0,0.6713423642674388,0.9664328817866281,0.7492788633414694,1.2389327524330886,1.2163269119486113
10079,True,synthetic-010079,moderate,23,acceptable,True,20.0,0.18346105874227886,0.9908269470628861,0.8541198715036161,1.190169599870005,0.9872979195167707
10080,True,synthetic-010080,moderate,55,converged,False,20.0,0.2846811223527846,0.9857659438823608,0.7874391195358247,1.2456387258949007,1.0744516913293491
