seed,difficulty,mode,arc_like,angular_samples,angular_span_degrees,fluence_pixels,acceptable,target_d95,target_d02,maximum_oar_ratio,loss,elapsed_seconds,peak_memory_mib
19008,hard,arc_like_180,True,19,180.0,1216,False,0.9619250893592834,1.2918447256088257,1.2585956979743493,0.48546427488327026,0.9319629000965506,103.2470703125
19008,hard,arc_like_360,True,36,350.0,2304,False,0.9635642766952515,1.2875182628631592,1.2330801125695208,0.45239853858947754,1.7402061000466347,198.859375
19009,hard,static_4,False,4,270.0,256,False,0.9369404911994934,1.0304549932479858,1.516130863521321,1.0988260507583618,0.7709118999773636,23.0537109375
19009,hard,static_12,False,12,330.0,768,False,0.9681204557418823,1.1970494985580444,1.1135226289973292,0.43276017904281616,0.7719119000248611,65.82275390625
19009,hard,arc_like_180,True,19,180.0,1216,False,0.9683767557144165,1.1750788688659668,1.1170113936393415,0.4191392660140991,0.9435919000534341,103.24560546875
19009,hard,arc_like_360,True,36,350.0,2304,False,0.9688793420791626,1.1972395181655884,1.0991790131588992,0.4213411808013916,1.7337934999959543,198.85791015625
19010,hard,static_4,False,4,270.0,256,False,0.9406049251556396,1.1624177694320679,1.383005821393097,0.9086790680885315,0.7470248000463471,23.05517578125
19010,hard,static_12,False,12,330.0,768,False,0.9532799124717712,1.1934309005737305,1.3074530908991338,0.6497443914413452,0.7576313000172377,65.82421875
19010,hard,arc_like_180,True,19,180.0,1216,False,0.953751266002655,1.1907994747161865,1.3197913316942953,0.6644957065582275,0.9462625000160187,103.2470703125
19010,hard,arc_like_360,True,36,350.0,2304,False,0.9568570256233215,1.192746877670288,1.2867132201781066,0.619168758392334,1.736204499960877,198.859375
19011,hard,static_4,False,4,270.0,256,False,0.9287022352218628,1.097108244895935,1.4328479236527656,1.112617015838623,0.8324946999782696,23.05615234375
19011,hard,static_12,False,12,330.0,768,False,0.9521179795265198,1.1257855892181396,1.3900983133839069,0.7288464307785034,0.7358726999955252,65.8251953125
19011,hard,arc_like_180,True,19,180.0,1216,False,0.9524214267730713,1.1250977516174316,1.3939660047353433,0.737954318523407,0.9747360000619665,103.248046875
19011,hard,arc_like_360,True,36,350.0,2304,False,0.9541680812835693,1.1240986585617065,1.3653682511416825,0.6977745294570923,1.7156636000145227,198.8603515625
