environment_version,seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
0.2,10063,True,synthetic-010063,moderate,64,converged,False,20.0,0.23135072033383744,0.9884324639833082,0.816972793045634,1.3353251534717374,1.000561045608082
0.2,10064,True,synthetic-010064,moderate,42,converged,False,20.0,0.2690876325610466,0.9865456183719477,0.8081859984003186,1.2908510611240458,1.0272570247480568
0.2,10065,True,synthetic-010065,moderate,25,converged,False,20.0,0.2481927367922442,0.9875903631603877,0.8115601082787063,1.2973134920892142,0.9552249607272921
0.2,10066,True,synthetic-010066,moderate,39,converged,False,20.0,0.17073083087991167,0.9914634584560045,0.8269868685586388,1.1886580336287416,1.0430159101400212
0.2,10067,True,synthetic-010067,moderate,42,converged,False,20.0,0.25370569420311034,0.9873147152898445,0.8053773075688608,1.1908812173488488,0.8561242508132145
0.2,10068,True,synthetic-010068,moderate,14,converged,False,20.0,0.1839220287296232,0.9908038985635189,0.8552146779472516,1.1794498323504523,1.051105094771063
0.2,10069,True,synthetic-010069,easy,14,acceptable,True,20.0,0.13197381603078456,0.9934013091984608,0.8696398997039643,1.2381554000390103,0.8079231522098317
0.2,10070,True,synthetic-010070,easy,21,converged,False,20.0,0.16942611650096684,0.9915286941749516,0.8335715436518513,1.2444474981993823,0.9187201372056899
0.2,10071,True,synthetic-010071,moderate,15,converged,False,20.0,0.40630798378085736,0.9796846008109572,0.8064019396248712,1.166876650272932,1.1735781355503119
0.2,10072,True,synthetic-010072,moderate,22,converged,False,20.0,0.188976089363164,0.9905511955318419,0.8396932174598947,1.2296190057154446,1.0573896354052446
0.2,10073,True,synthetic-010073,moderate,14,converged,False,20.0,0.25708701828210684,0.9871456490858946,0.8122567444682252,1.234940234146676,1.027979409300377
0.2,10074,True,synthetic-010074,moderate,46,converged,False,20.0,0.26497419366792707,0.9867512903166036,0.7952019860984916,1.2502673567879963,1.0629271888148026
0.2,10075,True,synthetic-010075,moderate,70,step_limit,False,20.0,0.20802693833387684,0.9895986530833062,0.8452845579779853,1.2457321626377211,0.9831420365403004
0.2,10076,True,synthetic-010076,moderate,17,acceptable,True,20.0,0.201738984456356,0.9899130507771823,0.8547459512907105,1.1887610243568922,0.9443401840788758
0.2,10077,True,synthetic-010077,moderate,70,step_limit,False,20.0,0.15697030858012892,0.9921514845709936,0.8235102829337372,1.2036222003850676,0.9474727238522956
0.2,10078,True,synthetic-010078,moderate,30,converged,False,20.0,0.24544255633263695,0.9877278721833681,0.8239342992298987,1.2297111433165382,0.9922145228260816
0.2,10079,True,synthetic-010079,easy,13,acceptable,True,20.0,0.12645204140652164,0.9936773979296738,0.8639697289488902,1.2314148594885004,0.9962305592647702
