training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,action_sequence,stopping_reason,target_d95_initial,target_d95_final,target_d02_initial,target_d02_final,oar_0_mean_initial,oar_0_mean_final,oar_1_mean_initial,oar_1_mean_final,oar_2_mean_initial,oar_2_mean_final,final_beam_angles_degrees,final_target_priority,final_hotspot_priority,final_oar_priorities
5,endpoint,prostate3d-105963,105963,moderate,True,0.0,5,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.375252366065979,0.9705166220664978,1.6557936668395996,1.1034464836120605,0.30145031213760376,0.21998706459999084,0.5153002738952637,0.32910558581352234,0.6826643943786621,0.3393089771270752,0|90|180|240,1.0,5.359375,1.0|1.0|1.0
5,endpoint,prostate3d-106211,106211,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3610671758651733,0.9702275991439819,1.712242603302002,1.2332744598388672,0.3153976798057556,0.22247546911239624,0.5058201551437378,0.39128923416137695,0.5631405115127563,0.29024824500083923,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-106643,106643,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.4034979343414307,1.0094656944274902,1.6737356185913086,1.2229604721069336,0.19766908884048462,0.14169633388519287,0.4430249035358429,0.30845901370048523,0.6276422739028931,0.32898491621017456,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-106762,106762,easy,True,0.0,2,add_beam_8|remove_beam_9,acceptable,1.4668482542037964,0.9440842866897583,1.6224342584609985,1.0714770555496216,0.1608189344406128,0.24415136873722076,0.49256467819213867,0.3918449282646179,0.7096000909805298,0.3291493356227875,0|90|180|240,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-106905,106905,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.4084564447402954,0.9905329942703247,1.6723196506500244,1.2211967706680298,0.21833345293998718,0.15599697828292847,0.5657885670661926,0.32756316661834717,0.6327524185180664,0.3259413242340088,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-106955,106955,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.30621337890625,0.9877471923828125,1.7082359790802002,1.196656346321106,0.3442758321762085,0.26419854164123535,0.4732590913772583,0.3418867886066437,0.483376681804657,0.26998165249824524,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-107023,107023,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3436400890350342,1.0049619674682617,1.6581172943115234,1.2237918376922607,0.18912985920906067,0.17551332712173462,0.510606586933136,0.3671276867389679,0.6353127360343933,0.22862644493579865,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-107125,107125,easy,True,0.0,2,add_beam_8|remove_beam_9,acceptable,1.4964087009429932,1.009149432182312,1.7043453454971313,1.234229564666748,0.0770578533411026,0.14136691391468048,0.4916278123855591,0.3332929313182831,0.7024260759353638,0.3321196138858795,0|90|180|240,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-107427,107427,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3244993686676025,0.9847974181175232,1.6668223142623901,1.1713913679122925,0.24012862145900726,0.21847748756408691,0.45962369441986084,0.33607810735702515,0.6593930721282959,0.2611340284347534,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-107511,107511,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.337777018547058,0.9702548980712891,1.7133572101593018,1.1552300453186035,0.3097437918186188,0.23514951765537262,0.5719068646430969,0.38755664229393005,0.5545722246170044,0.2969766855239868,0|90|180|240,1.0,1.75,1.0|1.0|1.0
