condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
trajectory,0,23,0.35669583082199097,0.5,0.05080416961220313,9.25,0.22991740703582764,0.11562061309814453,1.8654032945632935,1.7823718786239624,0.47491639852523804
trajectory,0,24,0.6085158586502075,0.75,0.07398416183388426,6.75,0.22710838913917542,-0.835391640663147,1.7823718786239624,1.7888461351394653,0.49163880944252014
trajectory,0,25,0.392480731010437,0.5,0.035019281680406966,7.25,0.22713488340377808,-3.327922821044922,1.7888461351394653,1.852460503578186,0.5005574226379395
trajectory,0,26,0.6820574998855591,0.75,0.020442546972110034,4.75,0.2277517467737198,-2.4771525859832764,1.852460503578186,1.9871958494186401,0.49944260716438293
trajectory,0,27,0.9700000286102295,1.0,0.0,3.0,0.22907587885856628,-0.03584784269332886,1.9871958494186401,2.141357898712158,0.48494985699653625
trajectory,0,28,0.33933067321777344,0.5,0.10316934892744616,5.75,0.22927135229110718,-3.085730791091919,2.141357898712158,2.1492509841918945,0.4804905354976654
trajectory,0,29,0.3408780097961426,0.5,0.08412201432104399,7.5,0.22743643820285797,-3.0485968589782715,2.1492509841918945,2.1258392333984375,0.4659977853298187
trajectory,0,30,0.6556074023246765,0.75,0.02189261946097365,7.25,0.22668150067329407,-0.21721577644348145,2.1258392333984375,2.0998895168304443,0.4570791721343994
trajectory,0,31,-0.003283292055130005,0.25,0.15828330122542647,9.5,0.22791415452957153,1.2430871725082397,2.0998895168304443,2.0641698837280273,0.4570791721343994
trajectory,0,32,0.32023122906684875,0.5,0.1147687719329774,6.5,0.2280358225107193,-2.314713478088379,2.0641698837280273,2.023383617401123,0.45261985063552856
trajectory,0,33,0.6106780767440796,0.75,0.07432191923453957,6.5,0.22854693233966827,-2.0173087120056152,2.023383617401123,1.9792165756225586,0.454849511384964
trajectory,0,34,0.6431608200073242,0.75,0.0643391993107614,4.25,0.22944173216819763,-2.034548759460449,1.9792165756225586,1.948852777481079,0.46711260080337524
trajectory,0,35,0.9449999928474426,1.0,0.0,5.5,0.22917364537715912,-0.16411742568016052,1.948852777481079,1.916300892829895,0.48272019624710083
trajectory,0,36,0.2990824580192566,0.5,0.12341752619155213,7.75,0.22836115956306458,-1.5952072143554688,1.916300892829895,1.8499277830123901,0.4972129464149475
trajectory,0,37,0.5899854898452759,0.75,0.11251455334466554,4.75,0.22780224680900574,-1.066685676574707,1.8499277830123901,1.7595176696777344,0.4949832856655121
trajectory,0,38,0.4058740437030792,0.5,0.03412596896585801,6.0,0.22797740995883942,-3.029975175857544,1.7595176696777344,1.7092711925506592,0.4882943332195282
trajectory,0,39,0.6294510364532471,0.75,0.05304898616859316,6.75,0.22692690789699554,-1.5870001316070557,1.7092711925506592,1.6683293581008911,0.4972129464149475
trajectory,0,40,0.6685315370559692,0.75,0.008968490193642376,7.25,0.2262130230665207,-0.8257426619529724,1.6683293581008911,1.626625657081604,0.5128205418586731
trajectory,0,41,0.7056447267532349,0.75,0.00685525467806436,3.75,0.22596967220306396,-2.3429534435272217,1.626625657081604,1.5990734100341797,0.5206243395805359
trajectory,0,42,0.9700000286102295,1.0,0.0,3.0,0.22664828598499298,-0.1320904642343521,1.5990734100341797,1.568953037261963,0.5284281373023987
trajectory,0,43,0.9600000381469727,1.0,0.0,4.0,0.22779294848442078,-0.08866605162620544,1.568953037261963,1.5450505018234253,0.5284281373023987
trajectory,0,44,0.6194289922714233,0.75,0.048071027714511716,8.25,0.228682279586792,0.4599694013595581,1.5450505018234253,1.53759765625,0.5351170897483826
trajectory,0,45,0.6096498966217041,0.75,0.0728501234604774,6.75,0.22869260609149933,-2.7850182056427,1.53759765625,1.5197947025299072,0.5295429229736328
trajectory,0,46,0.35646727681159973,0.5,0.056032717436497,8.75,0.22747597098350525,-1.7043828964233398,1.5197947025299072,1.4951468706130981,0.5150501728057861
trajectory,0,47,0.3368731141090393,0.5,0.1031268996909491,6.0,0.22576943039894104,-4.0663862228393555,1.4951468706130981,1.4839444160461426,0.5183946490287781
trajectory,0,48,0.32064902782440186,0.5,0.12185097762975677,5.75,0.22318138182163239,-1.8285694122314453,1.4839444160461426,1.4954538345336914,0.5083612203598022
trajectory,0,49,0.04150501638650894,0.25,0.12849498691665395,8.0,0.22141321003437042,-1.8423118591308594,1.4954538345336914,1.515933632850647,0.5139353275299072
trajectory,0,50,0.30087655782699585,0.5,0.12412343117125131,7.5,0.22021500766277313,-1.4857652187347412,1.515933632850647,1.5531450510025024,0.516165018081665
trajectory,0,51,0.6544439792633057,0.75,0.03805605192723077,5.75,0.21948829293251038,-1.5888988971710205,1.5531450510025024,1.5787709951400757,0.5362318754196167
trajectory,0,52,0.9574999809265137,1.0,0.0,4.25,0.2192814201116562,-0.06686233729124069,1.5787709951400757,1.6036627292633057,0.5473801493644714
trajectory,0,53,0.6387736797332764,0.75,0.031226293651573034,8.0,0.2188771367073059,-1.5558171272277832,1.6036627292633057,1.6423062086105347,0.5507246255874634
trajectory,0,54,0.9399999976158142,1.0,0.0,6.0,0.21879753470420837,-0.16376808285713196,1.6423062086105347,1.6769243478775024,0.5429208874702454
trajectory,0,55,0.4060000777244568,0.5,0.03149992373971844,6.25,0.21840400993824005,-3.384795665740967,1.6769243478775024,1.7079920768737793,0.5384615659713745
trajectory,0,56,0.9500000476837158,1.0,0.0,5.0,0.21772630512714386,-0.07875564694404602,1.7079920768737793,1.7147489786148071,0.5362318754196167
trajectory,0,57,0.9600000381469727,1.0,0.0,4.0,0.21680253744125366,-0.08396196365356445,1.7147489786148071,1.6987874507904053,0.5317726135253906
trajectory,0,58,0.9750000238418579,1.0,0.0,2.5,0.21572579443454742,-0.011868075467646122,1.6987874507904053,1.662883996963501,0.5317726135253906
